0x00400f95 0x00400f9b 
0x0041be18 0x0041be1b 
0x00400dce 0x00400dd3 
0x0047343e 0x00473441 
0x004733a3 0x004733a6 
0x00419140 0x00419144 
0x00413658 0x0041365f 
0x00400a72 0x00400a76 
0x00444537 0x0044453c 
0x004014f8 0x004014fd 
0x00444557 0x0044455c 
0x00415e44 0x00415e47 
0x004437c3 0x00443a98 
0x0041b977 0x0041b979 
0x00400a7d 0x00400b2b 
0x00444cde 0x00444ce1 
0x0041257c 0x0041257e 
0x0049e3e8 0x0049e3ef 
0x0041c426 0x0041c428 
0x004017a7 0x004017a9 
0x0041c86e 0x0041c872 
0x00410209 0x0041020a 
0x00465db9 0x00465dbd 
0x00443d85 0x00443d8a 
0x00400cdf 0x00400ce0 
0x00401a3d 0x00401a3e 
0x0040edc0 0x0040edc2 
0x00474cbd 0x00474ca8 
0x004009ff 0x00400a01 0x00400a18 
0x0040f2c3 0x0040f2c5 
0x00443f3e 0x00443df0 
0x00400d44 0x00400d49 
0x0040f22a 0x0040f22c 
0x0041b849 0x0041b84c 
0x004733b4 0x004733b8 
0x0041bbf3 0x0041bbfa 
0x0042ccc4 0x0042ccc8 
0x00424249 0x0041048c 0x00444654 0x0040ec66 
0x00443ba8 0x00443bae 
0x004406cb 0x004406cd 
0x00400e4c 0x00400e55 
0x00400996 0x00400998 
0x0047334b 0x0047334f 
0x00400ebe 0x00400ec0 
0x004735b5 0x004735b8 
0x00400ba9 0x00400bab 
0x00401a10 0x00401a11 
0x00413692 0x00413695 
0x00443858 0x0044385e 
0x0041c11a 0x0041c11b 
0x00443eaf 0x00443eb6 
0x00413672 0x00413676 
0x00443ac3 0x00443ac9 
0x0041fd0e 0x0041fd11 
0x0040ee28 0x0040ed60 
0x00415993 0x004632b3 
0x00424272 0x00424275 
0x0041c278 0x0041c27d 
0x0041bcd7 0x0041bcda 
0x00400ecc 0x0040dfc0 
0x0041e5f0 0x0041e5f4 
0x00400c52 0x00400c58 
0x0040eee4 0x0040eee7 
0x00412f5e 0x00412f64 
0x00400ec2 0x004436f0 
0x0040ee80 0x0040ee81 
0x0041c1c0 0x0041c1c7 
0x0042422d 0x00424234 
0x00424226 0x0042422d 
0x00400e4a 0x00400e4c 
0x00443fc3 0x00443fc6 
0x004430a5 0x004430a6 
0x0043f39a 0x0043f3a0 
0x00412fb6 0x00412fc2 
0x0041491d 0x00414923 
0x0046325f 0x00412f40 
0x004437a2 0x004437a8 
0x0047334f 0x00473352 
0x0040ecc5 0x0040ecc7 
0x00414db0 0x00414db2 
0x00473754 0x00473758 
0x00440711 0x00440718 
0x0040ed4a 0x0040ed51 
0x00400cf9 0x00400cfe 
0x004148fb 0x004148fd 
0x0041c253 0x0041c256 
0x00474c63 0x00474c6a 
0x00400e04 0x00400e06 
0x00414913 0x00414915 
0x0043f3c0 0x0043f3c3 
0x00400c88 0x00400c8f 
0x0041fce5 0x0041fceb 
0x00444e08 0x00444e0b 
0x00424244 0x00424246 0x0042424a 
0x0040f0a1 0x0040f0a2 
0x00400b14 0x00400b18 
0x00463267 0x00463269 
0x00473647 0x0047364b 
0x00400f7e 0x00400f84 
0x00424266 0x0042426a 
0x00426fe8 0x00426fed 
